# Zini   MH      logAge Mini         int_IMF      Mass  logL   logTe  logg   label McoreTP C_O   period0 period1 period2 period3 period4 pmode Mloss     tau1m X      Y      Xc       Xn       Xo       Cexcess Z       mbolmag Gmag   G_BPmag G_RPmag
  0.0152 0.01508 9.0    1.5499999523 2.5428511323 1.55  0.87   3.8683 4.183  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.3E-13  0.0   0.7267 0.2588 0.002575 7.038E-4 0.0064   -1.0    0.0145  2.595   2.485  2.62    2.24   
  0.0152 0.01508 9.0    1.5530842543 2.5430862206 1.553 0.874  3.8688 4.182  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.28E-13 0.0   0.7268 0.2587 0.002575 7.038E-4 0.0064   -1.0    0.0145  2.585   2.474  2.609   2.231  
  0.0152 0.01508 9.0    1.5960856676 2.5462552983 1.596 0.932  3.8755 4.163  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.04E-13 0.0   0.7269 0.2586 0.002574 7.036E-4 0.006397 -1.0    0.01454 2.44    2.333  2.458   2.107  
  0.0152 0.01508 9.0    1.6000000238 2.5465340628 1.6   0.937  3.876  4.161  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -1.02E-13 0.0   0.7269 0.2586 0.002574 7.036E-4 0.006397 -1.0    0.01454 2.427   2.32   2.444   2.095  
  0.0152 0.01508 9.0    1.6316223145 2.5487297844 1.631 0.979  3.8801 4.144  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -7.29E-14 0.0   0.7269 0.2585 0.002573 7.036E-4 0.006396 -1.0    0.01453 2.323   2.218  2.336   2.004  
  0.0152 0.01508 9.0    1.6500000954 2.5499614852 1.649 1.003  3.8822 4.133  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -6.03E-14 0.0   0.7269 0.2585 0.002573 7.036E-4 0.006396 -1.0    0.01455 2.263   2.159  2.273   1.951  
  0.0152 0.01508 9.0    1.6682686806 2.5511549888 1.668 1.027  3.8841 4.122  1     0.0     0.536 0.0     0.0     0.0     0.0     0.0     -1    -3.95E-20 0.0   0.7269 0.2585 0.002573 7.036E-4 0.006396 -1.0    0.01455 2.204   2.101  2.212   1.898  
  0.0152 0.01508 9.0    1.7000000477 2.5531580802 1.699 1.068  3.8872 4.101  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7269 0.2586 0.002574 7.038E-4 0.006396 -1.0    0.01455 2.101   2.0    2.105   1.805  
  0.0152 0.01508 9.0    1.73475945   2.5552558882 1.734 1.112  3.8901 4.077  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7268 0.2586 0.002574 7.04E-4  0.006395 -1.0    0.01453 1.989   1.889  1.99    1.702  
  0.0152 0.01508 9.0    1.75         2.5561455243 1.749 1.132  3.8911 4.065  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7268 0.2587 0.002575 7.04E-4  0.006396 -1.0    0.01452 1.94    1.841  1.94    1.657  
  0.0152 0.01508 9.0    1.77145648   2.557368214  1.77  1.159  3.8925 4.049  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7268 0.2587 0.002575 7.041E-4 0.006397 -1.0    0.01454 1.872   1.773  1.87    1.593  
  0.0152 0.01508 9.0    1.7999999523 2.5589429085 1.799 1.196  3.8935 4.023  1     0.0     0.537 0.0     0.0     0.0     0.0     0.0     -1    -1.0E-30  0.0   0.7267 0.2587 0.002575 7.043E-4 0.006399 -1.0    0.01457 1.781   1.682  1.777   1.506  
